name,score,updated_at
Ye Bai,0.0,2026-03-14T05:31:25.934784
Gordon C. Wan,0.1,2026-03-14T05:31:25.934798
Alexander Kain,0.0,2026-03-14T05:31:25.934802
Mark D. Flood,0.0,2026-03-14T05:31:25.934805
Hideo Kato,0.0,2026-03-14T05:31:25.934809
Kim K. Baldridge,0.3,2026-03-14T05:31:25.934813
Norman K. Sondheimer,0.0,2026-03-14T05:31:25.934816
André G. Uitterlinden,0.0,2026-03-14T05:31:25.934820
Masato Yamamoto,0.0,2026-03-14T05:31:25.934823
Peter Stephan,0.0,2026-03-14T05:31:25.934827
Nikole Awbery,0.0,2026-03-14T05:31:25.934830
Kent Torell,0.0,2026-03-14T05:31:25.934833
Nitin Kedia,0.0,2026-03-14T05:31:25.934837
Stéphane Caro,0.0,2026-03-14T05:31:25.934840
Eleni Efthimiou,0.0,2026-03-14T05:31:25.934843
Melvin Jose Johnson Premkumar,0.0,2026-03-14T05:31:25.934846
Nick Barnes,0.0,2026-03-14T05:31:25.934850
Ching-Hui Tang,0.0,2026-03-14T05:31:25.934853
Rui Oliveira,0.0,2026-03-14T05:31:25.934857
Claude Laflamme,0.0,2026-03-14T05:31:25.934860
Daniel Bossle,0.0,2026-03-14T05:31:25.934863
Jun-Yong Jeong,1.0,2026-03-14T05:31:25.934867
Aleksandras Surna,0.0,2026-03-14T05:31:25.934871
Furcy Pin,0.0,2026-03-14T05:31:25.934874
Michael Klaes,0.0,2026-03-14T05:31:25.934877
Philip M. R. Tedder,0.0,2026-03-14T05:31:25.934881
Shahram Famorzadeh,0.0,2026-03-14T05:31:25.934884
Benjamin Luff,0.0,2026-03-14T05:31:25.934888
Anton J. Pfeiffer,0.0,2026-03-14T05:31:25.934891
Nicola Strisciuglio,0.0,2026-03-14T05:31:25.934894
Mihailo Kolundzija,0.0,2026-03-14T05:31:25.934898
Keiji Sasaki,0.0,2026-03-14T05:31:25.934901
S. R. Park,1.0,2026-03-14T05:31:25.934904
Louai Saker,0.0,2026-03-14T05:31:25.934907
Gervasio Prado,0.0,2026-03-14T05:31:25.934910
Armando Rubio Torroella,0.0,2026-03-14T05:31:25.934914
Juan Hernández,0.0,2026-03-14T05:31:25.934917
C. Lopez,0.0,2026-03-14T05:31:25.934920
Yuhan Zeng,0.0,2026-03-14T05:31:25.934923
Mostafa Mehdipour-Ghazi,0.0,2026-03-14T05:31:25.934927
Yiming Hei,0.0,2026-03-14T05:31:25.934930
Rajiv V. Joshi,0.0,2026-03-14T05:31:25.934933
Gang Sheng,0.0,2026-03-14T05:31:25.934936
Guyue Liu,0.0,2026-03-14T05:31:25.934940
Monidipa Das,0.0,2026-03-14T05:31:25.934943
E. Tammaru,0.0,2026-03-14T05:31:25.934946
Harshil Shah,0.0,2026-03-14T05:31:25.934949
Cyrill Baumann,0.0,2026-03-14T05:31:25.934952
Carlos Gañán,0.0,2026-03-14T05:31:25.934955
Marcel Breeuwer,0.0,2026-03-14T05:31:25.934959
Shuo Bai,0.0,2026-03-14T05:31:25.934962
Cong Peng,0.0,2026-03-14T05:31:25.934965
Derrall Heath,0.0,2026-03-14T05:31:25.934968
Sonia Xu,0.0,2026-03-14T05:31:25.934971
Hanxi Tang,0.0,2026-03-14T05:31:25.934975
Dora Lee,0.85,2026-03-14T05:31:25.934978
Michael M. Wolf,0.0,2026-03-14T05:31:25.934981
Yuzhen Chen,0.0,2026-03-14T05:31:25.934984
Ángel Luís Garrido,0.0,2026-03-14T05:31:25.934988
Vipin Vijayan,0.0,2026-03-14T05:31:25.934991
Jean-François Cudelou,0.0,2026-03-14T05:31:25.934994
Hiroaki Takatsu,0.0,2026-03-14T05:31:25.934997
Xiaobin Ren,0.0,2026-03-14T05:31:25.935000
Dengfeng Wang,0.0,2026-03-14T05:31:25.935003
Jordan Martin,0.0,2026-03-14T05:31:25.935007
Anup Rao,0.0,2026-03-14T05:31:25.935010
Micha Müller,0.0,2026-03-14T05:31:25.935014
Na Zhi,0.0,2026-03-14T05:31:25.935017
Yuji Uema,0.0,2026-03-14T05:31:25.935021
Wei-Jia Huang,0.0,2026-03-14T05:31:25.935024
Weilong Guan,0.0,2026-03-14T05:31:25.935027
Peifung E. Lam,0.0,2026-03-14T05:31:25.935030
Yingjie Yao,0.0,2026-03-14T05:31:25.935033
Kelly J. Smith,0.0,2026-03-14T05:31:25.935036
Jinwei Tang,0.0,2026-03-14T05:31:25.935039
Kaiyue Pang,0.0,2026-03-14T05:31:25.935042
Gongwei Wang,0.0,2026-03-14T05:31:25.935045
Jonathan W. Greene,0.0,2026-03-14T05:31:25.935049
Heiko Paulheim,0.0,2026-03-14T05:31:25.935052
Alina N. Moga,0.0,2026-03-14T05:31:25.935055
Jinsong Lin,0.0,2026-03-14T05:31:25.935058
Andreas Terzis,0.0,2026-03-14T05:31:25.935061
Leo Davy,0.0,2026-03-14T05:31:25.935064
Arthicha Srisuchinnawong,0.0,2026-03-14T05:31:25.935067
Zhibin Yu,0.0,2026-03-14T05:31:25.935070
Nattapol Trijakwanich,0.0,2026-03-14T05:31:25.935074
Seth J. Teller,0.0,2026-03-14T05:31:25.935076
Torsten Kröger,0.0,2026-03-14T05:31:25.935079
Vasudha Sathyapriyan,0.0,2026-03-14T05:31:25.935083
Emanuela Boros,0.0,2026-03-14T05:31:25.935086
Yuantian Ding,0.0,2026-03-14T05:31:25.935089
Jose Fernando Vega-Riveros,0.0,2026-03-14T05:31:25.935092
Sven Hartmann,0.0,2026-03-14T05:31:25.935095
Zimian Wei,0.0,2026-03-14T05:31:25.935098
O. Gibergues,0.0,2026-03-14T05:31:25.935101
JiaFu Zhang,0.0,2026-03-14T05:31:25.935104
Gil Speyer,0.0,2026-03-14T05:31:25.935107
Fulin Lin,0.0,2026-03-14T05:31:25.935110
Junwei Liang,0.0,2026-03-14T05:31:25.935113
John T. Stonick,0.0,2026-03-14T05:31:25.935116
Sandra Lagén,0.0,2026-03-14T05:31:25.935119
Moriyuki Nakashima,0.0,2026-03-14T05:31:25.935123
Xiaqiang Dai,0.0,2026-03-14T05:31:25.935126
Tijani Chahed,0.0,2026-03-14T05:31:25.935129
Daniel Durstewitz,0.0,2026-03-14T05:31:25.935132
Lei Jing,0.0,2026-03-14T05:31:25.935135
Thomas E. Matthews,0.0,2026-03-14T05:31:25.935139
Iliano Cervesato,0.0,2026-03-14T05:31:25.935142
Art Tevs,0.0,2026-03-14T05:31:25.935145
Gregg A. Helt,0.0,2026-03-14T05:31:25.935148
Steven D. Blostein,0.0,2026-03-14T05:31:25.935151
Guang Yu,0.0,2026-03-14T05:31:25.935154
Xiaokang Qiu,0.0,2026-03-14T05:31:25.935157
Sook Shin Ha,1.0,2026-03-14T05:31:25.935160
Pramit Saha,0.0,2026-03-14T05:31:25.935163
Iacopo Mastromatteo,0.0,2026-03-14T05:31:25.935166
Markus Kampker,0.0,2026-03-14T05:31:25.935169
Yoshihiro Kuroki,0.0,2026-03-14T05:31:25.935172
Saeed Saeedabedi,0.0,2026-03-14T05:31:25.935175
Marc B. DonVito,0.0,2026-03-14T05:31:25.935178
Alexandra Chin,0.4,2026-03-14T05:31:25.935181
Myoungsub Oh,1.0,2026-03-14T05:31:25.935184
Ch. Hannig,0.0,2026-03-14T05:31:25.935187
Nour Assy,0.0,2026-03-14T05:31:25.935190
Mohamed Bamakhrama,0.0,2026-03-14T05:31:25.935193
Mithun Saha,0.0,2026-03-14T05:31:25.935197
Xuanqiang Zhao,0.0,2026-03-14T05:31:25.935199
John Delaney,0.0,2026-03-14T05:31:25.935202
Rebecca Faust,0.0,2026-03-14T05:31:25.935205
Mahyar Samani,0.0,2026-03-14T05:31:25.935209
Annibale Biggeri,0.0,2026-03-14T05:31:25.935212
Ivan Vecerina,0.0,2026-03-14T05:31:25.935215
Ying-Liang Lu,0.0,2026-03-14T05:31:25.935218
Harrison Steel,0.0,2026-03-14T05:31:25.935221
Trung Lam Ngo,0.0,2026-03-14T05:31:25.935223
Moshfiq-Us-Saleheen Chowdhury,0.0,2026-03-14T05:31:25.935226
Bailin He,0.0,2026-03-14T05:31:25.935229
John Leslie King,0.0,2026-03-14T05:31:25.935232
Arika Yoshida,0.0,2026-03-14T05:31:25.935235
Goldie B. Terrell,0.0,2026-03-14T05:31:25.935239
Taesu Kim,1.0,2026-03-14T05:31:25.935242
Albert Baumgartner,0.0,2026-03-14T05:31:25.935245
Yao Guo,0.0,2026-03-14T05:31:25.935248
Alessio Colucci,0.0,2026-03-14T05:31:25.935251
Alisia R. Gill,0.0,2026-03-14T05:31:25.935254
David T. W. Jones,0.0,2026-03-14T05:31:25.935257
Ryota Nakayama,0.0,2026-03-14T05:31:25.935260
Alexandria M. Stacy,0.0,2026-03-14T05:31:25.935263
Riccardo Del Chiaro,0.0,2026-03-14T05:31:25.935266
Joseph L. Mundy,0.0,2026-03-14T05:31:25.935268
Vivek R. Narasayya,0.0,2026-03-14T05:31:25.935271
